# Figura 6.17 da dissertação de Marcos A. G. da Silva Filho (COPPE/UFRJ, 2023)
# cenário 6 — DeltaT [C]
# série "Simulação"; vértices extraídos do gráfico vetorial, NÃO a saída numérica original
t_min,valor
43310.48,0.0350
43546.79,0.0350
43546.79,-0.4241
43546.79,-0.0456
43783.11,-0.0456
43783.11,-0.1449
43783.11,-0.0125
43783.11,-0.1119
44019.42,-0.3709
44019.42,-0.0053
44019.42,-0.1046
44019.42,0.0278
44255.73,0.0278
44255.73,-0.1708
44255.73,-0.0370
44255.73,-0.4299
44255.73,-0.1809
44484.17,-0.0471
44484.17,-0.1478
44484.17,-0.0125
44484.17,-0.1119
44720.48,0.0220
44720.48,-0.0787
44956.79,-0.0787
44956.79,-0.4356
44956.79,-0.0485
44956.80,-0.1478
44956.79,-0.0140
45193.11,-0.0140
45193.11,-0.3694
45193.11,0.0005
45429.42,0.0005
45429.42,-0.0989
45429.42,0.0350
45429.42,-0.0643
45657.86,-0.0643
45657.86,-0.4198
45657.85,-0.0356
45657.86,-0.1348
45894.17,0.0019
45894.17,-0.3536
45894.17,0.0148
46130.48,0.0148
46130.48,-0.1852
46130.48,-0.0500
46366.79,-0.0500
46366.79,-0.1493
46366.79,-0.0125
46603.11,-0.0125
46603.11,-0.3665
46603.11,0.0062
46603.11,-0.0931
46831.54,-0.0931
46831.54,-0.1924
46831.54,-0.0557
46831.54,-0.1550
47067.86,-0.4083
47067.86,-0.0226
47067.85,-0.1219
47067.86,0.0148
47304.17,0.0148
47304.17,-0.4356
47540.48,-0.1780
47540.48,-0.0413
47540.48,-0.1406
47540.48,-0.0024
47540.48,-0.3536
47540.48,0.0206
47776.79,0.0206
47776.79,-0.1794
47776.79,-0.0413
48005.23,-0.0413
48005.23,-0.3910
48005.23,-0.0053
48241.54,-0.0053
48241.54,-0.1046
48241.54,0.0335
48241.54,-0.0658
48477.85,-0.0658
48477.86,-0.4155
48477.86,-0.0212
48477.85,-0.1219
48714.17,0.0177
48714.17,-0.0816
48950.48,-0.0816
48950.48,-0.4299
48950.48,-0.0298
48950.48,-0.1305
48950.48,0.0090
49178.92,0.0090
49178.92,-0.0902
49415.23,-0.0902
49415.23,-0.4385
49415.23,-0.0341
49415.23,-0.1348
49415.23,0.0048
49415.23,-0.0946
49651.54,-0.0946
49651.54,-0.4400
49651.54,-0.0356
49887.86,-0.0356
49887.85,-0.1348
49887.86,0.0048
49887.85,-0.0946
50124.17,-0.0946
50124.17,-0.4400
50124.17,-0.0341
50352.60,-0.0341
50352.60,-0.1334
50352.60,0.0076
50352.60,-0.0917
50588.92,-0.0917
50588.92,-0.4371
50588.92,-0.0298
50588.92,-0.1305
50825.23,0.0119
50825.23,-0.0874
