Tempo    Pot Rx    Pot Turbina     Tmed   Delta I  Cboro  Banco D  Volume de Água
614       100.00     650.0          303.4      0.728        1800       213     0
615       100.00     650.0          303.4      0.728        1800       213     0
616       100.00     650.0          303.4      0.727        1800       213     0
617       100.00     650.0          303.4      0.727        1800       213     0
618       100.00     650.0          303.4      0.727        1800       213     0
619       100.00     650.0          303.4      0.727        1800       213     0
620       100.00     650.0          303.4      0.727        1800       213     0
621       100.00     650.0          303.4      0.727        1800       213     0
622       100.00     650.0          303.4      0.727        1800       213     0
623       100.00     650.0          303.4      0.727        1800       213     0
624       100.00     650.0          303.4      0.726        1800       213     0
625       100.00     650.0          303.4      0.726        1800       213     0
626       100.00     650.0          303.4      0.726        1800       213     0
627       100.00     650.0          303.4      0.726        1800       213     0
628       100.00     650.0          303.4      0.726        1800       213     0
629       100.00     650.0          303.4      0.726        1800       213     0
630       100.00     650.0          303.3      0.726        1800       213     0
631       100.00     650.0          303.3      0.726        1800       213     0
632       100.00     650.0          303.3      0.726        1800       213     0
633       100.00     650.0          303.3      0.725        1800       213     0
634       100.00     650.0          303.3      0.725        1800       213     0
635       100.00     650.0          303.3      0.725        1800       213     0
636       100.00     650.0          303.3      0.725        1800       213     0
637       100.00     650.0          303.3      0.725        1800       213     0
638       100.00     650.0          303.3      0.725        1800       213     0
639       100.00     650.0          303.3      0.725        1800       213     0
640       100.00     650.0          303.3      0.725        1800       213     0
641       100.00     650.0          303.3      0.725        1800       213     0
642       100.00     650.0          303.3      0.724        1800       213     0
643       100.00     650.0          303.3      0.724        1800       213     0
644       100.00     650.0          303.3      0.724        1800       213     0
645       100.00     650.0          303.3      0.724        1800       213     0
646       100.00     650.0          303.3      0.724        1800       213     0
647       100.00     650.0          303.3      0.724        1800       213     0
648       100.00     650.0          303.3      0.724        1800       213     0
649       100.00     650.0          303.3      0.724        1800       213     0
650       100.00     650.0          303.3      0.724        1800       213     0
651       100.00     650.0          303.3      0.723        1800       213     0
652       100.00     650.0          303.3      0.723        1800       213     0
653       100.00     650.0          303.3      0.723        1800       213     0
654       100.00     650.0          303.3      0.723        1800       213     0
655       100.00     650.0          303.3      0.723        1800       213     0
656       100.00     650.0          303.3      0.723        1800       213     0
657       100.00     650.0          303.3      0.723        1800       213     0
658       100.00     650.0          303.3      0.723        1800       213     0
659       100.00     650.0          303.3      0.723        1800       213     0
660       100.00     650.0          303.3      0.723        1800       213     0
661       100.00     650.0          303.3      0.722        1800       213     0
662       100.00     650.0          303.3      0.722        1800       213     0
663       100.00     650.0          303.3      0.722        1800       213     0
664       100.00     650.0          303.3      0.722        1800       213     0
665       100.00     650.0          303.3      0.722        1800       213     0
666       100.00     650.0          303.3      0.722        1800       213     0
667       100.00     650.0          303.3      0.722        1800       213     0
668       100.00     650.0          303.3      0.722        1800       213     0
669       100.00     650.0          303.3      0.722        1800       213     0
670       100.00     650.0          303.3      0.721        1800       213     0
671       100.00     650.0          303.3      0.721        1800       213     0
672       100.00     650.0          303.3      0.721        1800       213     0
673       100.00     650.0          303.3      0.721        1800       213     0
674       100.00     650.0          303.3      0.721        1800       213     0
675       100.00     650.0          303.3      0.721        1800       213     0
676       100.00     650.0          303.3      0.721        1800       213     0
677       100.00     650.0          303.3      0.721        1800       213     0
678       100.00     650.0          303.3      0.721        1800       213     0
679       100.00     650.0          303.3      0.721        1800       213     0
680       100.00     650.0          303.3      0.721        1800       213     0
681       100.00     650.0          303.3      0.720        1800       213     0
682       100.00     650.0          303.3      0.720        1800       213     0
683       100.00     650.0          303.3      0.720        1800       213     0
684       100.00     650.0          303.3      0.720        1800       213     0
685       100.00     650.0          303.3      0.720        1800       213     0
686       100.00     650.0          303.3      0.720        1800       213     0
687       100.00     650.0          303.3      0.720        1800       213     0
688       100.00     650.0          303.3      0.720        1800       213     0
689       100.00     650.0          303.3      0.720        1800       213     0
690       100.00     650.0          303.3      0.720        1800       213     0
691       100.00     650.0          303.3      0.719        1800       213     0
692       100.00     650.0          303.3      0.719        1800       213     0
693       100.00     650.0          303.3      0.719        1800       213     0
694       100.00     650.0          303.3      0.719        1800       213     0
695       100.00     650.0          303.3      0.719        1800       213     0
696       100.00     650.0          303.3      0.719        1800       213     0
697       100.00     650.0          303.3      0.719        1800       213     0
698       100.00     650.0          303.3      0.719        1800       213     0
699       100.00     650.0          303.3      0.719        1800       213     0
700       100.00     650.0          303.3      0.719        1800       213     0
701       100.00     650.0          303.3      0.719        1800       213     0
702       100.00     650.0          303.3      0.718        1800       213     0
703       100.00     650.0          303.3      0.718        1800       213     0
704       100.00     650.0          303.3      0.718        1800       213     0
705       100.00     650.0          303.3      0.718        1800       213     0
706       100.00     650.0          303.3      0.718        1800       213     0
707       100.00     650.0          303.3      0.718        1800       213     0
708       100.00     650.0          303.3      0.718        1800       213     0
709       100.00     650.0          303.3      0.718        1800       213     0
710       100.00     650.0          303.3      0.718        1800       213     0
711       100.00     650.0          303.3      0.718        1800       213     0
712       100.00     650.0          303.3      0.718        1800       213     0
713       100.00     650.0          303.3      0.717        1800       213     0
714       100.00     650.0          303.3      0.717        1800       213     0
715       100.00     650.0          303.3      0.717        1800       213     0
716       100.00     650.0          303.3      0.717        1800       213     0
717       100.00     650.0          303.3      0.717        1800       213     0
718       100.00     650.0          303.3      0.717        1800       213     0
719       100.00     650.0          303.3      0.717        1800       213     0
720       100.00     650.0          303.3      0.717        1800       213     0
721       100.00     650.0          303.3      0.717        1800       213     0
722       100.00     650.0          303.3      0.717        1800       213     0
723       100.00     650.0          303.3      0.717        1800       213     0
724       100.00     650.0          303.3      0.716        1800       213     0
725       100.00     650.0          303.3      0.716        1800       213     0
726       100.00     650.0          303.3      0.716        1800       213     0
727       100.00     650.0          303.3      0.716        1800       213     0
728       100.00     650.0          303.3      0.716        1800       213     0
729       100.00     650.0          303.3      0.716        1800       213     0
730       100.00     650.0          303.3      0.716        1800       213     0
731       100.00     650.0          303.3      0.716        1800       213     0
732       100.00     650.0          303.3      0.716        1800       213     0
733       100.00     650.0          303.3      0.716        1800       213     0
734       100.00     650.0          303.3      0.716        1800       213     0
735       100.00     650.0          303.3      0.715        1800       213     0
736       100.00     650.0          303.3      0.715        1800       213     0
737       100.00     650.0          303.3      0.715        1800       213     0
738       100.00     650.0          303.3      0.715        1800       213     0
739       100.00     650.0          303.3      0.715        1800       213     0
740       100.00     650.0          303.3      0.715        1800       213     0
741       100.00     650.0          303.3      0.715        1800       213     0
742       100.00     650.0          303.3      0.715        1800       213     0
743       100.00     650.0          303.3      0.715        1800       213     0
744       100.00     650.0          303.3      0.715        1800       213     0
745       100.00     650.0          303.3      0.715        1800       213     0
746       100.00     650.0          303.3      0.714        1800       213     0
747       100.00     650.0          303.3      0.714        1800       213     0
748       100.00     650.0          303.3      0.714        1800       213     0
749       100.00     650.0          303.3      0.714        1800       213     0
750       100.00     650.0          303.3      0.714        1800       213     0
751       100.00     650.0          303.3      0.714        1800       213     0
752       100.00     650.0          303.3      0.714        1800       213     0
753       100.00     650.0          303.3      0.714        1800       213     0
754       100.00     650.0          303.3      0.714        1800       213     0
755       100.00     650.0          303.3      0.714        1800       213     0
756       100.00     650.0          303.2      0.714        1800       213     0
757       100.00     650.0          303.2      0.713        1800       213     0
758       100.00     650.0          303.2      0.713        1800       213     0
759       100.00     650.0          303.2      0.713        1800       213     0
760       100.00     650.0          303.2      0.713        1800       213     0
761       100.00     650.0          303.2      0.713        1800       213     0
762       100.00     650.0          303.2      0.713        1800       213     0
763       100.00     650.0          303.2      0.713        1800       213     0
764       100.00     650.0          303.2      0.713        1800       213     0
765       100.00     650.0          303.2      0.713        1800       213     0
766       100.00     650.0          303.2      0.713        1800       213     0
767       100.00     650.0          303.2      0.713        1800       213     0
768       100.00     650.0          303.2      0.713        1800       213     0
769       100.00     650.0          303.2      0.712        1800       213     0
770       100.00     650.0          303.2      0.712        1800       213     0
771       100.00     650.0          303.2      0.712        1800       213     0
772       100.00     650.0          303.2      0.712        1800       213     0
773       100.00     650.0          303.2      0.712        1800       213     0
774       100.00     650.0          303.2      0.712        1800       213     0
775       100.00     650.0          303.2      0.712        1800       213     0
776       100.00     650.0          303.2      0.712        1800       213     0
777       100.00     650.0          303.2      0.712        1800       213     0
778       100.00     650.0          303.2      0.712        1800       213     0
779       100.00     650.0          303.2      0.712        1800       213     0
780       100.00     650.0          303.2      0.712        1800       213     0
781       100.00     650.0          303.2      0.711        1800       213     0
782       100.00     650.0          303.2      0.711        1800       213     0
783       100.00     650.0          303.2      0.711        1800       213     0
784       100.00     650.0          303.2      0.711        1800       213     0
785       100.00     650.0          303.2      0.711        1800       213     0
786       100.00     650.0          303.2      0.711        1800       213     0
787       100.00     650.0          303.2      0.711        1800       213     0
788       100.00     650.0          303.2      0.711        1800       213     0
789       100.00     650.0          303.2      0.711        1800       213     0
790       100.00     650.0          303.2      0.711        1800       213     0
791       100.00     650.0          303.2      0.711        1800       213     0
792       100.00     650.0          303.2      0.711        1800       213     0
793       100.00     650.0          303.2      0.711        1800       213     0
794       100.00     650.0          303.2      0.710        1800       213     0
795       100.00     650.0          303.2      0.710        1800       213     0
796       100.00     650.0          303.2      0.710        1800       213     0
797       100.00     650.0          303.2      0.710        1800       213     0
798       100.00     650.0          303.2      0.710        1800       213     0
799       100.00     650.0          303.2      0.710        1800       213     0
800       100.00     650.0          303.2      0.710        1800       213     0
801       100.00     650.0          303.2      0.710        1800       213     0
802       100.00     650.0          303.2      0.710        1800       213     0
803       100.00     650.0          303.2      0.710        1800       213     0
804       100.00     650.0          303.2      0.710        1800       213     0
805       100.00     650.0          303.2      0.710        1800       213     0
806       100.00     650.0          303.2      0.710        1800       213     0
807       100.00     650.0          303.2      0.709        1800       213     0
808       100.00     650.0          303.2      0.709        1800       213     0
809       100.00     650.0          303.2      0.709        1800       213     0
810       100.00     650.0          303.2      0.709        1800       213     0
811       100.00     650.0          303.2      0.709        1800       213     0
812       100.00     650.0          303.2      0.709        1800       213     0
813       100.00     650.0          303.2      0.709        1800       213     0
814       100.00     650.0          303.2      0.709        1800       213     0
815       100.00     650.0          303.2      0.709        1800       213     0
816       100.00     650.0          303.2      0.709        1800       213     0
817       100.00     650.0          303.2      0.709        1800       213     0
818       100.00     650.0          303.2      0.709        1800       213     0
819       100.00     650.0          303.2      0.709        1800       213     0
820       100.00     650.0          303.2      0.708        1800       213     0
821       100.00     650.0          303.2      0.708        1800       213     0
822       100.00     650.0          303.2      0.708        1800       213     0
823       100.00     650.0          303.2      0.708        1800       213     0
824       100.00     650.0          303.2      0.708        1800       213     0
825       100.00     650.0          303.2      0.708        1800       213     0
826       100.00     650.0          303.2      0.708        1800       213     0
827       100.00     650.0          303.2      0.708        1800       213     0
828       100.00     650.0          303.2      0.708        1800       213     0
829       100.00     650.0          303.2      0.708        1800       213     0
830       100.00     650.0          303.2      0.708        1800       213     0
831       100.00     650.0          303.2      0.708        1800       213     0
832       100.00     650.0          303.2      0.708        1800       213     0
833       100.00     650.0          303.2      0.707        1800       213     0
834       100.00     650.0          303.2      0.707        1800       213     0
835       100.00     650.0          303.2      0.707        1800       213     0
836       100.00     650.0          303.2      0.707        1800       213     0
837       100.00     650.0          303.2      0.707        1800       213     0
838       100.00     650.0          303.2      0.707        1800       213     0
839       100.00     650.0          303.2      0.707        1800       213     0
840       100.00     650.0          303.2      0.707        1800       213     0
841       100.00     650.0          303.2      0.707        1800       213     0
842       100.00     650.0          303.2      0.707        1800       213     0
843       100.00     650.0          303.2      0.707        1800       213     0
844       100.00     650.0          303.2      0.707        1800       213     0
845       100.00     650.0          303.2      0.707        1800       213     0
846       100.00     650.0          303.2      0.706        1800       213     0
847       100.00     650.0          303.2      0.706        1800       213     0
848       100.00     650.0          303.2      0.706        1800       213     0
849       100.00     650.0          303.2      0.706        1800       213     0
850       100.00     650.0          303.2      0.706        1800       213     0
851       100.00     650.0          303.2      0.706        1800       213     0
852       100.00     650.0          303.2      0.706        1800       213     0
853       100.00     650.0          303.2      0.706        1800       213     0
854       100.00     650.0          303.2      0.706        1800       213     0
